Time,Centralized_gospa,Centralized_localization,Centralized_miss_truth,Centralized_false_tracks,Distributed_gospa,Distributed_localization,Distributed_miss_truth,Distributed_false_tracks,HandoverMeas_gospa,HandoverMeas_localization,HandoverMeas_miss_truth,HandoverMeas_false_tracks,HandoverNoMeas_gospa,HandoverNoMeas_localization,HandoverNoMeas_miss_truth,HandoverNoMeas_false_tracks,AvgTargets
61,0.9594585597618694,0.9594585597618694,0.0,0.0,1.3221534451190875,1.3221534451190875,0.0,0.0,29.642682891564174,2.6837846152503686,26.87005768508883,0.7071067811865476,1.320486937683239,1.320486937683239,0.0,0.0,2.0
62,0.8649795964172067,0.8649795964172067,0.0,0.0,1.272919321509674,1.272919321509674,0.0,0.0,33.25797572934699,2.5196107699740797,31.405591591021576,0.0,1.2723790632737109,1.2723790632737109,0.0,0.0,2.0
63,0.9343433598726627,0.9343433598726627,0.0,0.0,1.3466650320067495,1.3466650320067495,0.0,0.0,35.040474849257244,2.48783954688688,32.52691193458122,0.7071067811865476,1.3452230879449458,1.3452230879449458,0.0,0.0,1.98
64,0.9283938531550171,0.9283938531550171,0.0,0.0,1.2964250672351425,1.2964250672351425,0.0,0.0,35.04775328557302,1.8411778877479688,33.23401871576777,0.7071067811865476,1.2976842519756877,1.2976842519756877,0.0,0.0,1.81
65,0.8995084464655253,0.8995084464655253,0.0,0.0,1.2531698689590962,1.2531698689590962,0.0,0.0,33.28291906149467,1.8788635264505102,31.405591591021576,0.7071067811865476,1.2472257857255309,1.2472257857255309,0.0,0.0,1.56
66,0.902076713234147,0.902076713234147,0.0,0.0,1.9763960441215167,1.2811681234325605,0.0,0.7071067811865476,31.122384872160374,1.8724144141826113,27.455844122715735,2.414213562373095,1.974726717620674,1.2794904682616128,0.0,0.7071067811865476,1.41
67,0.8282107603676151,0.8282107603676151,0.0,0.0,1.2804148656800927,1.2804148656800927,0.0,0.0,30.74403193218482,1.8388828213892854,29.57716446627538,0.0,1.9756223081833262,1.2766963670391456,0.7071067811865476,0.0,1.16
68,2.208387836846896,0.8069600978847755,0.0,1.4142135623730951,3.3168760595190236,1.2224049869607085,0.7071067811865476,1.4142135623730951,27.446350724054934,1.9566570797114327,25.748737341529186,0.7071067811865476,4.698867912413817,1.199331563805861,2.121320343559643,1.4142135623730951,1.03
69,2.9279797953504407,0.8220791075391999,0.0,2.121320343559643,3.806173576014796,1.0099960022308871,0.0,2.8284271247461903,27.332958753418048,1.73756535685682,25.33452377915609,0.7071067811865476,5.187381246975348,0.9886457893556327,1.4142135623730951,2.8284271247461903,1.0
70,0.8443045186387768,0.8443045186387768,0.0,0.0,0.9501284368039232,0.9501284368039232,0.0,0.0,27.759483890256828,1.7666438042155892,26.455844122715735,0.0,3.7491383874772812,0.942035973804408,1.4142135623730951,1.4142135623730951,1.0
71,1.5207231309673022,0.8243218425516013,0.7071067811865476,0.0,3.04621737820107,0.9509891361857402,0.0,2.121320343559643,22.659238848623364,1.8345147208217472,19.798989873223345,1.4142135623730951,3.044084907420157,0.9488168568779923,0.0,2.121320343559643,1.0
72,2.8371689068243104,0.7320443032168125,0.7071067811865476,1.4142135623730951,2.3112669155163896,0.9017146079080254,0.7071067811865476,0.7071067811865476,28.630125597347252,1.5378760758311325,23.62741699796954,4.242640687119286,2.3063181716100796,0.8968726667343978,0.7071067811865476,0.7071067811865476,1.0
73,1.3860828272752794,0.6807865507257418,0.7071067811865476,0.0,3.5992018091057507,0.7951025858421871,0.7071067811865476,2.121320343559643,24.701663396655807,1.3023299582759653,22.21320343559644,1.4142135623730951,4.288029511211218,0.7771600428727267,1.4142135623730951,2.121320343559643,1.0
74,0.6202587486834638,0.6202587486834638,0.0,0.0,0.7428841454066161,0.7428841454066161,0.0,0.0,22.316922440653013,1.2169029320394658,19.2634559672906,2.8284271247461903,1.4327688324736614,0.740229605250534,0.0,0.7071067811865476,1.0
75,1.3357841438263136,0.633313232469581,0.0,0.7071067811865476,2.791554706424866,0.6792480582738828,0.0,2.121320343559643,19.329502640905375,1.075174896744052,17.6776695296637,0.7071067811865476,2.0897826692957246,0.6822567009762026,0.0,1.4142135623730951,1.0
76,1.2892200110527836,0.5863460889899176,0.7071067811865476,0.0,1.303597129609343,0.598623806381325,0.0,0.7071067811865476,15.509746787361191,1.137947387959854,12.727922061357859,2.121320343559643,2.7091982785046786,0.5975572837313495,1.4142135623730951,0.7071067811865476,1.0
77,2.0155212724130624,0.6080188891279937,0.0,1.4142135623730951,0.6304158824806418,0.6304158824806418,0.0,0.0,11.766056774377011,1.2367866613558496,8.485281374238571,2.121320343559643,0.6306123438219425,0.6306123438219425,0.0,0.0,1.0
78,1.3162437081782352,0.6216484208283393,0.0,0.7071067811865476,1.3273658770411516,0.6306786459134219,0.0,0.7071067811865476,9.717132429307343,1.244908349857393,8.485281374238571,0.0,2.024573099583966,0.6266638319138886,0.0,1.4142135623730951,1.0
79,0.6392611276695402,0.6392611276695402,0.0,0.0,1.3394179471471108,0.6402640193257367,0.0,0.7071067811865476,9.056172189171955,1.3017858452686601,6.363961030678928,1.4142135623730951,1.3351032342752631,0.6363273103669311,0.0,0.7071067811865476,1.0
80,0.6653723823201422,0.6653723823201422,0.0,0.0,0.6657013279283456,0.6657013279283456,0.0,0.0,11.866684403597615,1.3003929230610296,7.778174593052023,2.8284271247461903,0.6606680395241463,0.6606680395241463,0.0,0.0,1.0
81,0.7063592283582422,0.7063592283582422,0.0,0.0,0.7087238759245396,0.7087238759245396,0.0,0.0,5.643841881437872,1.4103300482056258,3.5355339059327378,0.7071067811865476,0.7070598470949363,0.7070598470949363,0.0,0.0,1.0
82,0.6729090561662803,0.6729090561662803,0.0,0.0,1.3774349217934667,0.67088428666067,0.0,0.7071067811865476,9.044696062181094,1.3282493643298616,4.242640687119286,3.5355339059327378,0.6707834673341861,0.6707834673341861,0.0,0.0,1.0
83,0.7027838834394788,0.7027838834394788,0.0,0.0,0.6982525012823965,0.6982525012823965,0.0,0.0,2.24281985470846,1.5357130735219127,0.7071067811865476,0.0,0.7010714425872722,0.7010714425872722,0.0,0.0,1.0
84,0.7191142194687159,0.7191142194687159,0.0,0.0,0.7213015089650496,0.7213015089650496,0.0,0.0,5.045675093081456,1.5345894624690366,2.121320343559643,1.4142135623730951,0.7191038770177574,0.7191038770177574,0.0,0.0,1.0
85,0.7102275586799132,0.7102275586799132,0.0,0.0,0.7123302637393395,0.7123302637393395,0.0,0.0,4.3528667654321245,1.5244396406859368,2.8284271247461903,0.0,0.7081330531670581,0.7081330531670581,0.0,0.0,1.0
86,0.6888422518139119,0.6888422518139119,0.0,0.0,0.6835622982066465,0.6835622982066465,0.0,0.0,4.434417215026579,1.60599009028039,2.8284271247461903,0.0,0.6859521823490176,0.6859521823490176,0.0,0.0,1.0
87,0.7313598326450959,0.7313598326450959,0.0,0.0,0.7316905345908437,0.7316905345908437,0.0,0.0,5.073607990120866,1.6007004751490677,0.7071067811865476,2.8284271247461903,0.731090353242968,0.731090353242968,0.0,0.0,1.0
88,0.7771276637316262,0.7771276637316262,0.0,0.0,0.7764631302570737,0.7764631302570737,0.0,0.0,4.353401583161626,1.5661939125046478,0.7071067811865476,2.121320343559643,1.4772146184592905,0.7762473740469598,0.0,0.7071067811865476,1.0
89,0.7397026836030066,0.7397026836030066,0.0,0.0,0.7419987265540314,0.7419987265540314,0.0,0.0,5.0970619628376514,1.5774965607563385,2.121320343559643,1.4142135623730951,0.7411433987418583,0.7411433987418583,0.0,0.0,1.0
90,0.7686475397896357,0.7686475397896357,0.0,0.0,0.7696170392717743,0.7696170392717743,0.0,0.0,3.788003503105848,1.6666831595462055,2.121320343559643,0.0,0.7657099432083568,0.7657099432083568,0.0,0.0,1.0
91,1.420895306519985,0.7190687121755617,0.0,0.7071067811865476,0.7192081395420453,0.7192081395420453,0.0,0.0,3.745447746861966,1.6396926595451427,1.4142135623730951,0.7071067811865476,0.7196253497662793,0.7196253497662793,0.0,0.0,1.0
92,0.8108782645200115,0.8108782645200115,0.0,0.0,0.809766595721009,0.809766595721009,0.0,0.0,3.8166521357813563,1.7229154668219722,0.7071067811865476,1.4142135623730951,0.8088121381472675,0.8088121381472675,0.0,0.0,1.0
93,1.5335261469096548,0.8369211983208616,0.0,0.7071067811865476,1.536913356947167,0.8376418939334056,0.0,0.7071067811865476,5.187724499639485,1.657785480215262,2.8284271247461903,0.7071067811865476,1.536974015581442,0.8377381722344167,0.0,0.7071067811865476,1.0
94,0.8214062511422948,0.8214062511422948,0.0,0.0,0.8189170837244325,0.8189170837244325,0.0,0.0,3.900645060967524,1.8002358767184778,1.4142135623730951,0.7071067811865476,0.8235615026302079,0.8235615026302079,0.0,0.0,1.0
95,0.8250775859420011,0.8250775859420011,0.0,0.0,2.231283334143658,0.8320292570562795,0.0,1.4142135623730951,6.771421208258733,1.8624524388095196,2.121320343559643,2.8284271247461903,0.8304610159153394,0.8304610159153394,0.0,0.0,1.0
96,1.5140070125253997,0.8112768160544257,0.0,0.7071067811865476,2.214690547468743,0.8111440862594596,0.0,1.4142135623730951,3.3226952650035235,1.9084817026304257,1.4142135623730951,0.0,1.5173506622093413,0.8151108509471807,0.0,0.7071067811865476,1.0
97,1.5672767917684767,0.8673382913765825,0.0,0.7071067811865476,1.5731831647815206,0.8731147895173862,0.0,0.7071067811865476,3.3801407802400676,1.9659272178669744,1.4142135623730951,0.0,0.874184763598324,0.874184763598324,0.0,0.0,1.0
98,0.9142735863220273,0.9142735863220273,0.0,0.0,1.6155005451860065,0.9142209729686122,0.0,0.7071067811865476,3.453929641041982,2.071483578045716,0.0,1.4142135623730951,1.6154197858542028,0.9139670488196594,0.0,0.7071067811865476,1.0
99,0.9660500376191531,0.9660500376191531,0.0,0.0,1.653223421717597,0.964905016089952,0.0,0.7071067811865476,4.8240360854605875,2.0377030289455416,1.4142135623730951,1.4142135623730951,1.6533132124152055,0.9647589862967834,0.0,0.7071067811865476,1.0
